gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description
Solyc10g078930.2	A.28.45	A.34.45	5.2e-05	2.61e-07	1.514	0.0355	0.000226	1.511	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA)
Solyc10g084170.1	A.28.45	A.34.45	3.88e-08	1.36e-10	3.67	0.00109	4.35e-06	3.667	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
Solyc10g085040.1	A.28.45	A.34.45	0.00031	1.82e-06	2.678	0.0239	0.000142	2.711	Heme-binding-like protein (AHRD V3.3 *** A0A2I0X8X3_9ASPA)
Solyc10g086410.3	A.28.45	A.34.45	0.0439	0.000398	0.896	0.0395	0.000255	0.894	LEHSC270  hsc-2heat shock protein cognate 70
Solyc11g020040.2	A.28.45	A.34.45	3.23e-06	1.34e-08	2.833	0.00836	3.9e-05	2.88	heat shock protein 70
Solyc11g020330.1	A.28.45	A.34.45	5.21e-09	1.55e-11	4.931	0.000363	1.2e-06	4.989	leer-sHSP small heat shock protein
Solyc11g066100.2	A.28.45	A.34.45	1.11e-07	4.36e-10	2.687	0.00142	5.78e-06	2.683	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g066830.2	A.28.45	A.34.45	9.97e-05	5.42e-07	1.831	0.000193	5.71e-07	1.83	Zinc finger transcription factor 68
Solyc11g068730.2	A.28.45	A.34.45	0.000523	3.23e-06	2.089	NA	NA	NA	NA
Solyc11g068940.1	A.28.45	A.34.45	0.000105	5.79e-07	2.723	0.0217	0.000125	2.759	RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2VPS7_CAPBA)
Solyc11g071830.2	A.28.45	A.34.45	1.68e-14	2.68e-17	4.181	2.29e-07	4.07e-10	4.177	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA)
NA	NA	NA	NA	NA	NA	0.0276	0.000169	0.888	WLM domain-containing protein/PUB domain-containing protein (AHRD V3.3 *** A0A1Q3B398_CEPFO)
Solyc12g010450.3	A.28.45	A.34.45	4.2e-06	1.83e-08	2.382	0.000317	1.02e-06	2.394	Protein phosphatase 2C (AHRD V3.3 *** B4FDN2_MAIZE)
Solyc12g015880.2	A.28.45	A.34.45	0.000469	2.85e-06	1.892	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0493	0.000334	0.787	Heat shock protein 70 family (AHRD V3.3 *** A0A200PNX6_9MAGN)
Solyc12g056780.2	A.28.45	A.34.45	0.0415	0.000363	1.569	NA	NA	NA	NA
Solyc12g099980.3	A.28.45	A.34.45	9.97e-05	5.36e-07	2.767	0.0102	4.92e-05	2.802	receptor-like protein 12 (AHRD V3.3 *** A0A1U8F785_CAPAN)
Solyc12g099990.2	A.28.45	A.34.45	0.0268	0.000226	0.891	0.0193	0.000108	0.889	Calmodulin 5
NA	NA	NA	NA	NA	NA	0.011	1e-04	5.84	Ribosomal protein S3 (AHRD V3.3 *** A0A290WKX3_SOLLC)
Solyc01g007840.3	A.28.75	A.34.75	0.00579	6.68e-05	0.916	0.00228	1.63e-05	0.915	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (AHRD V3.3 *** A0A2U1M9A7_ARTAN)
Solyc01g010220.3	A.28.75	A.34.75	0.0152	0.000198	2.438	0.00853	7.42e-05	2.45	Copia-like polyprotein/retrotransposon (AHRD V3.3 --* Q9FI33_ARATH)
NA	NA	NA	NA	NA	NA	0.0287	0.000288	1.099	DnaJ protein ERDJ3B (AHRD V3.3 *** A0A2G2Z6I0_CAPAN)
Solyc01g081000.3	A.28.75	A.34.75	0.021	0.000286	1.621	NA	NA	NA	NA
Solyc01g081250.3	A.28.75	A.34.75	4.28e-14	9.51e-17	4.209	4.51e-08	8.76e-11	4.207	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
Solyc01g081270.2	A.28.75	A.34.75	2.06e-06	1.42e-08	3.87	4.85e-05	2.47e-07	3.933	Glutathione S-transferase (AHRD V3.3 *** A0A200PVK3_9MAGN)
NA	NA	NA	NA	NA	NA	0.0131	0.000121	2.833	Nitroreductase family protein (AHRD V3.3 *** A0A2K3NXL4_TRIPR)
Solyc01g091270.3	A.28.75	A.34.75	1.11e-06	7.05e-09	2.695	0.00165	1.17e-05	2.696	myeloid leukemia factor (AHRD V3.3 *** AT2G45380.4)
Solyc01g095320.4	A.28.75	A.34.75	5.01e-18	4.78e-21	5.458	1.49e-11	1.62e-14	5.456	Bag family molecular chaperone regulator 6-like protein (AHRD V3.3 *** A0A2K3PRI9_TRIPR)
NA	NA	NA	NA	NA	NA	0.000568	3.48e-06	4.323	Auxin-responsive GH3 family protein (AHRD V3.3 *** A0A2U1NZC8_ARTAN)
Solyc01g102960.3	A.28.75	A.34.75	1.16e-12	3.44e-15	5.287	1.03e-07	2.49e-10	5.285	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc01g104740.3	A.28.75	A.34.75	5.58e-06	4.01e-08	3.233	0.00626	5.28e-05	3.229	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN)
Solyc01g106210.3	A.28.75	A.34.75	9.79e-05	8.91e-07	1.906	0.0311	0.000317	1.904	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3MZA1_TRIPR)
Solyc01g107080.3	A.28.75	A.34.75	5.72e-15	9.69e-18	6.816	1.88e-08	3.07e-11	6.85	HXXXD-type acyl-transferase family protein (AHRD V3.3 *** A0A2K3MRI0_TRIPR)
Solyc02g061790.4	A.28.75	A.34.75	0.000331	3.26e-06	1.926	0.01	8.93e-05	1.935	Activated RNA polymerase II transcriptional coactivator p15 (AHRD V3.3 *** A0A2G2XC29_CAPBA)
Solyc02g063355.1	A.28.75	A.34.75	3.89e-09	1.97e-11	7.233	0.000768	4.77e-06	7.596	Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *** A0A2U1LMA8_ARTAN)
NA	NA	NA	NA	NA	NA	0.000131	7.33e-07	6.992	Exonuclease family protein (AHRD V3.3 *** A0A2U1PL29_ARTAN)
Solyc02g069170.3	A.28.75	A.34.75	8.48e-11	3.5e-13	5.997	1.66e-07	4.13e-10	6.165	Transcription initiation factor TFIID subunit 8 (AHRD V3.3 *** A0A1J3F703_NOCCA)
Solyc02g077670.3	A.28.75	A.34.75	2.53e-15	3.75e-18	5.386	2.71e-09	3.58e-12	5.405	DnaJ-like protein (AHRD V3.3 *** Q9SP09_TOBAC)
Solyc02g079440.3	A.28.75	A.34.75	0.0119	0.000151	-1.671	NA	NA	NA	NA
Solyc02g079930.3	A.28.75	A.34.75	5.42e-07	3.27e-09	2.081	0.00124	8.17e-06	2.081	phosphosulfolactate synthase
Solyc02g081550.3	A.28.75	A.34.75	1.09e-27	1.16e-31	6.817	1.4e-11	1.42e-14	6.907	LeftsH6FtsH protease
Solyc02g086750.3	A.28.75	A.34.75	0.0107	0.000132	1.253	0.0358	0.000375	1.254	Tudor/PWWP/MBT superfamily protein (AHRD V3.3 *-* A0A1P8BF80_ARATH)
Solyc02g088610.4	A.28.75	A.34.75	2.48e-09	1.21e-11	3.634	5.59e-05	2.91e-07	3.633	LeHSP110/ClpB heat shock protein
NA	NA	NA	NA	NA	NA	0.00441	3.53e-05	6.242	Pentatricopeptide repeat-containing protein (AHRD V3.3 *** A0A2G3D998_CAPCH)
Solyc02g090820.3	A.28.75	A.34.75	2.4e-11	9.14e-14	2.688	7.85e-16	1.83e-19	2.689	Heat stress transcription factor B-1 (AHRD V3.3 *** A0A2G3D8M4_CAPCH)
Solyc03g006990.1	A.28.75	A.34.75	9.71e-05	8.73e-07	3.117	0.00124	8.19e-06	3.151	Pentatricopeptide repeat (AHRD V3.3 *** A0A200PMS4_9MAGN)
Solyc03g007000.4	A.28.75	A.34.75	6.87e-05	5.89e-07	1.807	0.00419	3.29e-05	1.812	Peptidase M48 (AHRD V3.3 *** A0A200PMQ6_9MAGN)
Solyc03g007890.3	A.28.75	A.34.75	1.03e-11	3.69e-14	4.741	7.85e-07	2.5e-09	4.738	class 2 small heat shock protein Le-HSP17.6
Solyc03g025530.3	A.28.75	A.34.75	0.00327	3.63e-05	1.808	0.00368	2.83e-05	1.812	oxidoreductase/transition metal ion-binding protein (AHRD V3.3 *** AT5G52410.3)
Solyc03g044960.2	A.28.75	A.34.75	0.0342	0.000479	-0.85	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.0352	0.000364	5.772	Avr9/Cf-9 rapidly elicited protein 65 (AHRD V3.3 *** Q9FQZ0_TOBAC)
Solyc03g082420.3	A.28.75	A.34.75	6.3e-21	3.33e-24	6.082	2.25e-13	1.4e-16	6.092	Small heat shock protein, chloroplastic (AHRD V3.3 *** HS21C_SOLLC)
Solyc03g082920.4	A.28.75	A.34.75	4.74e-05	3.92e-07	1.605	3.6e-06	1.31e-08	1.605	Heat shock protein 70 family (AHRD V3.3 *** A0A200QNK9_9MAGN)
NA	NA	NA	NA	NA	NA	0.00902	7.92e-05	3.881	phosphatidylinositol 4-kinase gamma 4-like (AHRD V3.3 *** A0A2I4FK44_9ROSI)
Solyc03g112140.4	A.28.75	A.34.75	9.45e-05	8.4e-07	3.265	9.52e-06	3.99e-08	3.288	MAP kinase kinase kinase 27
Solyc03g113930.3	A.28.75	A.34.75	6.46e-14	1.5e-16	6.845	1.59e-06	5.42e-09	6.964	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH)
Solyc03g115230.3	A.28.75	A.34.75	8.74e-13	2.5e-15	3.88	5.43e-07	1.56e-09	3.877	Solanum lycopersicum heat shock protein
Solyc03g116630.3	A.28.75	A.34.75	0.0342	0.000482	0.874	NA	NA	NA	NA
Solyc03g117630.1	A.28.75	A.34.75	5.96e-22	1.89e-25	5.815	1.28e-14	3.97e-18	5.818	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN)
Solyc03g117960.4	A.28.75	A.34.75	8.04e-05	6.98e-07	1.549	6.31e-05	3.33e-07	1.549	Forkhead-associated domain-containing protein / FHA domain-containing protein (AHRD V3.3 *** A0A2U1Q1M6_ARTAN)
Solyc03g118060.3	A.28.75	A.34.75	3.12e-14	6.27e-17	6.513	1.64e-13	8.9e-17	6.616	NFU1 iron-sulfur cluster protein (AHRD V3.3 *** AT5G07330.1)
Solyc03g120090.1	A.28.75	A.34.75	4.76e-07	2.82e-09	2.913	0.00165	1.16e-05	2.911	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID)
Solyc03g123540.3	A.28.75	A.34.75	1.29e-18	9.55e-22	5.698	8.5e-12	7.92e-15	5.714	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH)
Solyc04g005270.1	A.28.75	A.34.75	0.013	0.000168	1.236	0.00454	3.67e-05	1.234	Phosphatidylinositol 4-kinase gamma 7 (AHRD V3.3 *** A0A1U8GNT8_CAPAN)
Solyc04g011440.4	A.28.75	A.34.75	4.99e-12	1.74e-14	5.04	3.91e-07	1.09e-09	5.037	ethylene-responsive heat shock protein cognate 70
Solyc04g014480.3	A.28.75	A.34.75	8.74e-05	7.68e-07	2.654	0.000156	8.98e-07	2.671	15.7 kDa heat shock protein, peroxisomal (AHRD V3.3 *** A0A1U8GLK8_CAPAN)
Solyc04g014500.3	A.28.75	A.34.75	0.0187	0.000252	-1.393	0.0499	0.000531	-1.401	Nudix hydrolase 4 (AHRD V3.3 *** A0A2G2XAD0_CAPBA)
Solyc04g054190.3	A.28.75	A.34.75	0.0096	0.000117	1.806	NA	NA	NA	NA
Solyc04g057890.3	A.28.75	A.34.75	0.00803	9.43e-05	2.609	0.0134	0.000127	2.63	Glutathione S-transferase family protein (AHRD V3.3 *** A0A2U1N1I4_ARTAN)
Solyc04g072160.3	A.28.75	A.34.75	1.21e-18	7.66e-22	5.09	5.49e-12	4.69e-15	5.096	ripening regulated protein DDTFR8
Solyc05g005910.4	A.28.75	A.34.75	7.3e-06	5.41e-08	3.198	2.44e-05	1.1e-07	3.224	Protein NRT1/ PTR FAMILY 1.2 (AHRD V3.3 *-* A0A1J3FWJ0_NOCCA)
Solyc05g006290.2	A.28.75	A.34.75	1.76e-12	5.79e-15	7.921	6.08e-06	2.36e-08	7.38	F-box domain, Leucine-rich repeat domain, L domain-like protein (AHRD V3.3 *** A0A2U1LZM8_ARTAN)
Solyc05g007895.1	A.28.75	A.34.75	6.87e-05	5.87e-07	3.081	4.85e-05	2.44e-07	3.1	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH)
Solyc05g008120.4	A.28.75	A.34.75	2.46e-09	1.17e-11	5.76	6.46e-05	3.46e-07	6.009	DnaJ-like protein subfamily B member 6 (AHRD V3.3 *-* A0A2G3B5R9_CAPCH)
Solyc05g010210.1	A.28.75	A.34.75	1.61e-10	6.83e-13	6.855	9.3e-06	3.83e-08	7.207	F-box domain (AHRD V3.3 *-* A0A200QAM7_9MAGN)
Solyc05g013440.3	A.28.75	A.34.75	0.000321	3.13e-06	1.778	0.00432	3.42e-05	1.786	Amine oxidase (AHRD V3.3 *** A0A2G2VMP6_CAPBA)
Solyc05g014280.4	A.28.75	A.34.75	1.34e-13	3.54e-16	6.154	1.79e-07	4.59e-10	6.207	small heat shock protein 1
Solyc05g046310.3	A.28.75	A.34.75	6.67e-17	7.77e-20	6.106	3.53e-06	1.26e-08	6.352	DBH-like monooxygenase (AHRD V3.3 *** AT5G35320.1)
Solyc05g052410.3	A.28.75	A.34.75	6.55e-07	4.02e-09	2.076	2.14e-08	3.66e-11	2.078	Dehydration-responsive element-binding protein 2A (AHRD V3.3 *** A0A1U8GX89_CAPAN)
Solyc05g052950.4	A.28.75	A.34.75	0.00332	3.73e-05	2.19	0.0474	0.000501	2.213	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** Q9M2S1_ARATH)
NA	NA	NA	NA	NA	NA	0.00368	2.8e-05	4.673	cilia- and flagella-associated protein 298-B-like isoform X1 (AHRD V3.3 *** XP_010321365.1)
Solyc05g055010.4	A.28.75	A.34.75	0.000351	3.49e-06	3.393	NA	NA	NA	NA
Solyc05g055470.4	A.28.75	A.34.75	0.00812	9.62e-05	1.205	0.00108	6.88e-06	1.202	NAC domain-containing protein 13 (AHRD V3.3 *** A0A2G2XV32_CAPAN)
Solyc06g005160.4	A.28.75	A.34.75	0.0361	0.000512	1.245	NA	NA	NA	NA
Solyc06g008130.4	A.28.75	A.34.75	0.00625	7.28e-05	1.814	0.0213	0.000212	1.822	SET-domain containing protein lysine methyltransferase family protein (AHRD V3.3 *-* F4K7E3_ARATH)
Solyc06g011370.4	A.28.75	A.34.75	9.48e-09	5.02e-11	5.368	5.81e-07	1.71e-09	5.498	Chaperone protein ClpB (AHRD V3.3 *-* B2IUM0_NOSP7)
Solyc06g036290.3	A.28.75	A.34.75	4.82e-06	3.42e-08	2.852	0.00737	6.35e-05	2.847	heat shock protein 90
Solyc06g060300.1	A.28.75	A.34.75	0.00874	0.000105	1.808	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	6.19e-06	2.5e-08	7.586	Protein kinase-like protein (AHRD V3.3 *** Q8LCP0_ARATH)
Solyc06g068050.3	A.28.75	A.34.75	0.0187	0.000253	1.606	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.000164	9.7e-07	6.902	microbial collagenase (AHRD V3.3 *** AT1G18060.1)
NA	NA	NA	NA	NA	NA	0.00595	4.94e-05	2.853	hypothetical protein (AHRD V3.3 *** AT5G07950.1)
Solyc06g072430.3	A.28.75	A.34.75	1.36e-09	6.03e-12	3.651	4.68e-05	2.27e-07	3.647	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA)
Solyc06g073820.3	A.28.75	A.34.75	0.0181	0.000239	2.09	NA	NA	NA	NA
Solyc06g076520.1	A.28.75	A.34.75	1.66e-14	3.16e-17	6.199	8.09e-08	1.82e-10	6.245	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
NA	NA	NA	NA	NA	NA	0.000526	3.19e-06	6.668	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076560.2	A.28.75	A.34.75	5.5e-21	2.33e-24	6.309	2.69e-14	1.04e-17	6.323	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076570.4	A.28.75	A.34.75	2.03e-15	2.79e-18	7.391	2.9e-12	2.25e-15	7.56	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR)
Solyc06g076670.3	A.28.75	A.34.75	0.00189	1.98e-05	1.223	0.000153	8.66e-07	1.221	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* A0A1P8AVT0_ARATH)
Solyc06g083190.4	A.28.75	A.34.75	9.42e-18	9.97e-21	5.596	3.25e-11	3.78e-14	5.604	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH)
Solyc06g084390.3	A.28.75	A.34.75	0.0023	2.46e-05	1.687	0.00915	8.1e-05	1.691	ER auxin binding 1
Solyc07g005210.3	A.28.75	A.34.75	1.36e-06	8.76e-09	3.961	0.016	0.000153	4.115	Outer membrane lipoprotein blc-like (AHRD V3.3 *** A0A2K3KEW8_TRIPR)
Solyc07g006180.3	A.28.75	A.34.75	0.00028	2.67e-06	2.157	0.000945	5.95e-06	2.164	ripening regulated protein (DDTFR5)
Solyc07g007500.3	A.28.75	A.34.75	2.58e-07	1.5e-09	3.521	7.22e-07	2.24e-09	3.551	nucleolin isoform X1 (AHRD V3.3 *-* XP_004242730.1)
Solyc07g040960.1	A.28.75	A.34.75	0.0107	0.000135	1.63	0.0015	1.02e-05	1.628	Harbinger transposase-derived nuclease (AHRD V3.3 *** A0A200QD47_9MAGN)
Solyc07g042250.3	A.28.75	A.34.75	9.27e-08	5.2e-10	2.401	5.61e-08	1.14e-10	2.404	chaperonin 21 precursor
Solyc07g042930.3	A.28.75	A.34.75	0.016	0.00021	1.432	0.00595	4.95e-05	1.434	Rhomboid-like protein 14 (AHRD V3.3 *** A0A2K3N0Y0_TRIPR)
Solyc07g045240.3	A.28.75	A.34.75	0.0107	0.000133	1.148	0.00309	2.3e-05	1.147	RNA-binding (RRM/RBD/RNP motifs) family protein (AHRD V3.3 *-* A0A2U1LP30_ARTAN)
Solyc07g048120.3	A.28.75	A.34.75	1.64e-06	1.07e-08	1.916	7.42e-09	1.15e-11	1.915	ubiquitin fusion degradation protein 1 (AHRD V3.3 *** A0A2I4DSF8_9ROSI)
Solyc07g053615.1	A.28.75	A.34.75	1.75e-05	1.35e-07	1.991	0.0128	0.000117	1.988	DnaJ like protein (AHRD V3.3 *** Q9FEW7_SOLLC)
Solyc07g055400.2	A.28.75	A.34.75	1.85e-11	6.85e-14	5.158	1.42e-05	6.17e-08	5.323	Lectin-domain receptor-like kinase (AHRD V3.3 *-* G4XXY5_NICAT)
Solyc07g056510.3	A.28.75	A.34.75	1.46e-14	2.63e-17	7.753	4.85e-05	2.49e-07	7.901	Glutathione S-transferase-like protein (AHRD V3.3 *** A0A2K3N2T5_TRIPR)
NA	NA	NA	NA	NA	NA	0.029	0.000293	0.541	E3 ubiquitin-protein ligase UPL2 (AHRD V3.3 *** A0A2G3C2F6_CAPCH)
Solyc07g065840.2	A.28.75	A.34.75	0.00215	2.28e-05	0.763	0.00049	2.93e-06	0.762	molecular chaperone Hsp90-2
Solyc07g066070.3	A.28.75	A.34.75	6.56e-06	4.79e-08	3.092	0.0134	0.000125	3.156	KH domain-containing protein (AHRD V3.3 *** A0A1U8HDP0_CAPAN)
Solyc08g006980.3	A.28.75	A.34.75	1.45e-09	6.73e-12	3.165	4.68e-05	2.29e-07	3.164	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN)
Solyc08g062340.3	A.28.75	A.34.75	3.63e-13	9.98e-16	4.74	2.16e-07	5.71e-10	4.747	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN)
Solyc08g062437.1	A.28.75	A.34.75	3.29e-14	6.97e-17	4.828	2.52e-08	4.51e-11	4.825	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH)
Solyc08g062960.4	A.28.75	A.34.75	1.91e-18	1.62e-21	5.442	1.73e-22	1.34e-26	5.474	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI)
Solyc08g067960.3	A.28.75	A.34.75	2.49e-05	1.98e-07	1.191	1.65e-06	5.78e-09	1.19	CHY-type/CTCHY-type/RING-type Zinc finger protein (AHRD V3.3 *** A0A2U1Q2D4_ARTAN)
NA	NA	NA	NA	NA	NA	0.00237	1.71e-05	4.264	Late embryogenesis abundant protein Lea5 (AHRD V3.3 *** A0A1J3FNN3_NOCCA)
NA	NA	NA	NA	NA	NA	0.0333	0.000341	0.751	Bax inhibitor
Solyc08g078700.2	A.28.75	A.34.75	7.01e-14	1.71e-16	4.402	5.61e-08	1.18e-10	4.4	mitochondrial small heat shock protein
Solyc08g079170.3	A.28.75	A.34.75	3.56e-06	2.49e-08	2.377	0.00626	5.3e-05	2.374	Hsp70-Hsp90 organizing protein 1 (AHRD V3.3 *** A0A1U8GC69_CAPAN)
Solyc08g079260.3	A.28.75	A.34.75	0.0096	0.000117	2.408	0.0352	0.000366	2.435	TPR repeat-containing thioredoxin TDX (AHRD V3.3 *-* A0A2G2XKR1_CAPBA)
Solyc08g079830.4	A.28.75	A.34.75	0.0375	0.000539	2.36	NA	NA	NA	NA
Solyc08g081455.1	A.28.75	A.34.75	0.00306	3.33e-05	2.34	0.00263	1.94e-05	2.352	Unknown protein
NA	NA	NA	NA	NA	NA	0.01	9.01e-05	5.901	Reticulon-like protein (AHRD V3.3 *** A0A2G3DAU6_CAPCH)
Solyc08g082410.4	A.28.75	A.34.75	0.0187	0.000253	0.756	0.00737	6.32e-05	0.755	LOW protein: zinc finger CCCH domain protein (AHRD V3.3 *-* AT5G53440.2)
Solyc09g005120.3	A.28.75	A.34.75	2.5e-05	2.01e-07	2.06	0.0173	0.000168	2.058	DnaJ protein ERDJ3A (AHRD V3.3 *** A0A2G2VZ69_CAPBA)
Solyc09g005430.3	A.28.75	A.34.75	0.00026	2.45e-06	1.863	0.000112	6.16e-07	1.864	skin secretory protein xP2-like (AHRD V3.3 *** XP_019071199.1)
Solyc09g007270.3	A.28.75	A.34.75	2.99e-09	1.49e-11	4.979	0.00419	3.25e-05	5.033	Ascorbate peroxidase (AHRD V3.3 *** Q42941_TOBAC)
Solyc09g008200.4	A.28.75	A.34.75	2.44e-07	1.39e-09	5.026	1.17e-06	3.81e-09	5.131	heavy metal-associated isoprenylated plant protein 3-like (AHRD V3.3 *-* A0A1S4B4L4_TOBAC)
Solyc09g008970.1	A.28.75	A.34.75	1.54e-12	4.88e-15	6.155	1.2e-06	3.99e-09	6.183	plant/protein (AHRD V3.3 *** AT3G10020.1)
Solyc09g011030.3	A.28.75	A.34.75	6.2e-05	5.18e-07	3.474	6.19e-06	2.47e-08	3.495	Hsp70 nucleotide exchange factor FES1 (AHRD V3.3 *** A0A1J3K956_NOCCA)
Solyc09g011080.3	A.28.75	A.34.75	0.000601	6.05e-06	1.07	0.00158	1.09e-05	1.068	Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic (AHRD V3.3 *** A0A2G2VP29_CAPBA)
Solyc09g011160.4	A.28.75	A.34.75	1.24e-08	6.68e-11	4.298	5.75e-08	1.25e-10	4.346	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** A0A1I9LSN5_ARATH)
Solyc09g015000.4	A.28.75	A.34.75	3.1e-15	4.92e-18	6.361	2.95e-16	4.59e-20	6.436	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR)
Solyc09g015010.2	A.28.75	A.34.75	2.14e-23	4.54e-27	7.259	6.56e-13	4.58e-16	7.43	Gag-asp_proteas domain-containing protein (AHRD V3.3 *-* A0A1Q3CQ35_CEPFO)
Solyc09g015020.1	A.28.75	A.34.75	6.53e-11	2.63e-13	5.352	2.18e-07	5.93e-10	5.481	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR)
NA	NA	NA	NA	NA	NA	0.0172	0.000166	0.794	PPPDE putative thiol peptidase family protein (AHRD V3.3 *** A0A2U1N5E2_ARTAN)
Solyc09g074510.3	A.28.75	A.34.75	1.37e-05	1.03e-07	2.129	6.73e-07	2.04e-09	2.13	Tubby-like F-box protein (AHRD V3.3 *** A0A200QX79_9MAGN)
Solyc09g075470.2	A.28.75	A.34.75	0.000283	2.73e-06	2.294	0.00329	2.48e-05	2.304	DnaJ-like protein subfamily B member 6 (AHRD V3.3 *** A0A2G2W0L3_CAPBA)
Solyc09g075950.1	A.28.75	A.34.75	2.03e-15	2.75e-18	4.068	2.89e-09	4.04e-12	4.072	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3P5L8_TRIPR)
Solyc09g090760.4	A.28.75	A.34.75	5.86e-08	3.23e-10	4.045	7.61e-05	4.14e-07	4.13	Major facilitator superfamily protein (AHRD V3.3 *** A0A2U1PVI2_ARTAN)
Solyc09g091520.2	A.28.75	A.34.75	0.00548	6.27e-05	-1.454	NA	NA	NA	NA
Solyc09g092690.3	A.28.75	A.34.75	7.49e-14	1.9e-16	6.464	2.96e-09	4.37e-12	6.465	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA)
Solyc10g044470.3	A.28.75	A.34.75	0.0366	0.000524	2.032	NA	NA	NA	NA
Solyc10g077100.1	A.28.75	A.34.75	0.00452	5.12e-05	1.263	0.0208	0.000205	1.264	Plant organelle RNA recognition domain containing protein (AHRD V3.3 *** A0A2P5FBL3_TREOI)
Solyc10g078930.2	A.28.75	A.34.75	6.69e-07	4.18e-09	2.299	0.0025	1.82e-05	2.297	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA)
Solyc10g084170.1	A.28.75	A.34.75	1.45e-09	6.75e-12	4.209	4.34e-05	2.06e-07	4.208	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR)
Solyc10g084400.2	A.28.75	A.34.75	0.0259	0.000356	1.621	NA	NA	NA	NA
Solyc10g085040.1	A.28.75	A.34.75	0.00319	3.51e-05	2.219	0.0191	0.000187	2.235	Heme-binding-like protein (AHRD V3.3 *** A0A2I0X8X3_9ASPA)
Solyc10g086410.3	A.28.75	A.34.75	2.01e-06	1.36e-08	1.72	2.66e-08	4.95e-11	1.719	LEHSC270  hsc-2heat shock protein cognate 70
Solyc11g020040.2	A.28.75	A.34.75	2.77e-11	1.09e-13	4.783	8.77e-14	4.09e-17	4.816	heat shock protein 70
Solyc11g020330.1	A.28.75	A.34.75	1.87e-10	8.11e-13	6.54	1.56e-05	6.91e-08	6.592	leer-sHSP small heat shock protein
Solyc11g021215.1	A.28.75	A.34.75	0.0338	0.000468	2.461	NA	NA	NA	NA
Solyc11g066060.3	A.28.75	A.34.75	0.00232	2.51e-05	1.645	NA	NA	NA	NA
Solyc11g066100.2	A.28.75	A.34.75	5.71e-09	2.96e-11	3.088	0.000164	9.69e-07	3.085	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI)
Solyc11g066830.2	A.28.75	A.34.75	0.000931	9.56e-06	2.061	NA	NA	NA	NA
